,Purchase_x,Occupation,Marital_Status,Gender_F,Age_0-17,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,City_Category_A,City_Category_B,City_Category_C,Stay_In_Current_City_Years_0,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+
0,0,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
34,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
110,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
139,0,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
152,0,20,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
258,0,9,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
304,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
320,0,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
396,0,17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
453,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
675,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
744,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
755,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
815,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
828,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
944,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
965,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1079,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1258,1,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1402,0,14,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1414,0,16,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1427,1,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1582,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1753,0,7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1829,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1872,1,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2098,0,11,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2139,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2196,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2248,0,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2278,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2342,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2365,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2580,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2679,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2790,2,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2989,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3019,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
3059,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3074,1,8,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
3198,0,12,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
3211,1,17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3331,0,16,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3493,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3513,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3527,2,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
3864,0,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3923,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3947,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3972,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4014,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4391,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4414,0,12,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
4427,0,20,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4464,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4506,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4766,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4893,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
4928,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
4947,2,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5228,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5291,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5306,0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5372,0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5392,0,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5428,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
5470,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5505,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5530,0,14,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5546,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5572,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5705,0,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
5733,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5843,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
5894,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5915,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
6000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6016,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
6047,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
